bot,wins,draws,losses,score
JernoIsBot__J_Beuker,18,6,0,21.0
bot_random,3,15,6,10.5
bot_number_piece,1,18,5,10.0
Odysseus__m_lindenburger_1,0,19,5,9.5
bot_piece_value,0,18,6,9.0
