bot,wins,draws,losses,score
JernoIsBot__J_Beuker,13,3,0,14.5
bot_piece_value,4,8,4,8.0
Odysseus__m_lindenburger_1,1,12,3,7.0
bot_number_piece,2,8,6,6.0
bot_random,0,9,7,4.5
